horizon,rmse,mae
234 days,10962.745791998454,7518.573141879121
235 days,10319.212899096412,7469.263625973457
236 days,10138.852479659748,7444.278644558605
237 days,10065.948409467666,7439.610497198099
238 days,10045.529971834047,7442.942070253688
239 days,10082.012492424592,7484.801098825124
240 days,10428.184836226226,7668.6634730153
241 days,10312.026985612012,7617.547402389877
242 days,10290.957929032416,7588.155453416942
243 days,10802.213069730513,7762.892543548889
244 days,10912.075826982664,7933.159298039992
245 days,10864.32194641074,7937.593131133186
246 days,10957.846763488855,8039.560781317329
247 days,10971.948630702891,8076.758091349662
248 days,10759.473523068786,8015.683614461547
249 days,10496.430109704146,7916.798215930358
250 days,10433.884491152645,7827.984006558503
251 days,10423.930018123847,7821.6840243213765
252 days,10385.746235828461,7776.47887353148
253 days,10318.894313375018,7679.668171988036
254 days,10353.08663457212,7671.533265100435
255 days,10235.462186826542,7556.384892098277
256 days,10233.306354068507,7565.242365770279
257 days,10289.867113610606,7614.985166768941
258 days,10368.336467744946,7679.699792638201
259 days,10483.90432821736,7771.655978852618
260 days,10497.151574588568,7791.703901297121
261 days,10527.545679206152,7795.7425273051695
262 days,10513.830212040777,7807.471198687982
263 days,10434.72331708362,7747.406768687706
264 days,10453.040939608089,7765.470436319533
265 days,10572.49637380349,7871.456443275762
266 days,10557.521248179875,7860.141770480376
267 days,10505.084447332672,7813.816340718926
268 days,10487.343841166605,7802.683340482876
269 days,10317.590148695928,7699.773961359573
270 days,10070.967882651346,7535.310843956653
271 days,9914.968393922994,7420.390929207733
272 days,9928.778524988984,7409.465398938649
273 days,9953.039886127077,7418.287874062568
274 days,9894.410234502522,7359.644485316555
275 days,9892.493724300284,7354.013173998788
276 days,9759.901790799511,7303.023200373355
277 days,9610.06869857552,7222.9099457898765
278 days,9906.630011128125,7359.62613453864
279 days,11222.731120605285,7587.050379341366
280 days,11363.281886716424,7573.949398253291
281 days,11526.29166669109,7622.888113529767
282 days,11733.247177377238,7772.13135311794
283 days,11762.109121001271,7753.634597318793
284 days,11812.675667073736,7797.353688046443
285 days,11999.43354439142,7906.235056957914
286 days,11997.232767156613,7921.022675654893
287 days,12056.09058613668,7967.811564359463
288 days,12091.333727742682,7999.18717080292
289 days,12253.663011204233,8115.108032250496
290 days,12232.358628088794,8137.205896832328
291 days,12198.372133565685,8146.648455265983
292 days,12353.282975910055,8315.689402420774
293 days,12557.403232366083,8484.454544473176
294 days,12557.4315458516,8513.740189533202
295 days,12520.250555911007,8507.163139671131
296 days,12540.373334266777,8523.208111655716
297 days,12590.01256691198,8601.547708303196
298 days,12647.146153936406,8679.505741477762
299 days,12793.522269914094,8769.041304186283
300 days,12898.826795210474,8897.141728230363
301 days,12907.876999365433,8872.121853489158
302 days,12885.462203109715,8872.30811949328
303 days,12970.967829901265,8963.318126051849
304 days,12969.609833541495,8960.497789160781
305 days,13024.9550885516,9044.412991482573
306 days,13002.975632176142,9002.62735685883
307 days,13177.200243714342,9082.712967349484
308 days,13261.161578609453,9126.644288738875
309 days,13165.578115454586,9007.265505627603
310 days,13172.00265629577,9007.831135179506
311 days,13167.267076279692,8993.638414029216
312 days,13100.995524154032,8928.975134774983
313 days,13048.366573434543,8906.0398041642
314 days,12948.892300500718,8876.522448831149
315 days,12312.49843960607,8800.91691623693
316 days,11409.31219175148,8591.899007498527
