changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,daily_seasonality,weekly_seasonality,yearly_seasonality,rmse
0.01,0.5,multiplicative,True,True,False,2513.777411452669
0.05,10.0,multiplicative,True,True,True,2514.079411342758
0.05,0.5,multiplicative,False,True,True,2514.691528082461
0.01,0.01,additive,True,False,False,2514.819083907471
0.01,0.1,additive,True,True,False,2514.936128367738
0.01,0.05,additive,True,False,False,2514.9830718476182
0.01,0.05,additive,True,True,False,2515.179631279519
0.05,10.0,multiplicative,True,False,True,2515.3689442631203
0.01,5.0,additive,True,True,False,2516.96519279227
0.01,1.0,additive,True,True,False,2517.1793440618244
0.1,0.05,multiplicative,True,False,True,2517.2219986816312
0.05,1.0,multiplicative,False,False,True,2517.6545820385018
0.05,10.0,multiplicative,False,False,True,2517.8288210507503
0.01,10.0,additive,True,False,False,2517.9451055549166
0.01,0.05,multiplicative,True,False,False,2518.6753131302794
0.01,0.1,additive,False,True,False,2518.8038217654025
0.01,5.0,multiplicative,False,True,False,2520.91509706219
0.01,0.05,additive,False,True,False,2521.298082801335
0.01,0.1,multiplicative,True,False,False,2521.7143000068327
0.01,0.05,multiplicative,True,True,False,2521.7847203624233
0.01,10.0,multiplicative,True,False,False,2523.4909621811753
0.05,1.0,multiplicative,True,True,True,2523.8403294642235
0.01,10.0,multiplicative,False,False,False,2524.2749711086526
0.01,0.5,multiplicative,False,False,False,2524.2749711086526
0.01,5.0,multiplicative,False,False,False,2524.2749711086526
0.01,0.01,multiplicative,False,False,False,2524.2749711086526
0.01,1.0,multiplicative,False,False,False,2524.2749711086526
0.01,0.1,multiplicative,False,False,False,2524.2749711086526
0.01,0.05,multiplicative,False,False,False,2524.2749711086526
0.01,10.0,multiplicative,False,True,False,2524.3860267763075
0.01,10.0,additive,False,True,False,2524.8233483806175
0.01,0.01,additive,True,True,False,2527.077597809225
0.01,0.05,multiplicative,False,True,False,2527.224226733949
0.01,0.01,multiplicative,False,False,True,2527.4053133078933
0.05,0.5,multiplicative,True,False,True,2527.7435489371937
0.05,1.0,multiplicative,False,True,True,2528.6538354294585
0.01,5.0,additive,False,True,False,2529.400348674576
0.01,1.0,additive,False,True,False,2529.7759345073096
0.05,5.0,multiplicative,True,True,True,2534.0507739685636
0.01,0.01,multiplicative,True,False,False,2534.7715365229087
0.01,1.0,multiplicative,False,True,False,2535.135923027403
0.01,0.01,multiplicative,True,True,False,2535.435286642928
0.05,0.5,multiplicative,True,True,True,2536.806080475201
0.1,0.05,multiplicative,True,True,True,2539.801149264984
0.1,0.05,multiplicative,False,True,True,2543.64726210233
0.01,0.01,multiplicative,True,False,True,2547.163289231563
0.01,10.0,multiplicative,True,True,False,2547.8760454066733
0.01,0.01,multiplicative,True,True,True,2547.9661760057816
0.01,0.01,multiplicative,False,True,True,2549.8179307498854
0.01,1.0,multiplicative,True,True,False,2555.8953034227457
0.01,5.0,multiplicative,True,True,False,2559.4016778677405
0.01,1.0,multiplicative,True,False,False,2572.3557227933893
0.01,0.01,additive,False,False,True,2580.571412522345
0.1,0.1,multiplicative,True,False,True,2581.939935822773
0.01,0.01,additive,True,False,True,2584.2229529886317
0.01,10.0,additive,True,False,True,2584.509734562106
0.005,0.05,multiplicative,True,False,False,2591.5720507949327
0.01,0.01,additive,False,True,True,2594.047706750373
0.01,1.0,additive,False,False,True,2597.1109180553854
0.01,0.1,additive,False,False,True,2602.4194718514163
0.01,0.5,additive,False,False,True,2603.9515575294386
0.01,0.1,additive,False,True,True,2604.1687814959723
0.01,10.0,additive,False,True,True,2604.571507678043
0.01,0.05,additive,False,False,True,2607.6782704161506
0.01,5.0,additive,True,False,True,2607.7394836175426
0.01,0.01,additive,True,True,True,2608.4578566118857
0.005,1.0,multiplicative,True,False,False,2610.673185282793
0.01,5.0,additive,False,True,True,2610.680515259689
0.005,0.01,multiplicative,False,False,False,2610.6805338319555
0.005,0.1,multiplicative,False,False,False,2610.6805338319555
0.005,0.5,multiplicative,False,False,False,2610.6805338319555
0.005,1.0,multiplicative,False,False,False,2610.6805338319555
0.005,0.05,multiplicative,False,False,False,2610.6805338319555
0.005,5.0,multiplicative,False,False,False,2610.6805338319555
0.005,10.0,multiplicative,False,False,False,2610.6805338319555
0.01,0.5,additive,False,True,True,2612.415054071669
0.01,0.5,additive,True,False,True,2612.9485787428966
0.01,0.1,additive,True,False,True,2614.970204543038
0.005,0.05,multiplicative,False,True,False,2616.3699269569324
0.01,5.0,additive,True,True,True,2616.6857725928808
0.01,10.0,additive,False,False,True,2617.0057921068546
0.01,1.0,additive,False,True,True,2617.2945087172175
0.01,1.0,additive,True,False,True,2618.391504046717
0.01,0.05,additive,True,False,True,2618.4672101531964
0.005,0.01,multiplicative,True,True,False,2620.090614453314
0.01,10.0,additive,True,True,True,2624.3489570544375
0.01,0.05,additive,False,True,True,2624.880364976768
0.1,0.1,multiplicative,True,True,True,2625.6601934095393
0.1,0.1,multiplicative,False,False,True,2625.725615632186
0.01,1.0,additive,True,True,True,2625.98745182729
0.01,0.1,additive,True,True,True,2627.119868094018
0.005,10.0,multiplicative,True,False,False,2627.1215788445056
0.005,5.0,additive,False,True,False,2628.3928504066002
0.01,5.0,additive,False,False,True,2629.3677999740366
0.01,0.5,additive,True,True,True,2629.3696509849815
0.005,10.0,multiplicative,False,True,False,2630.744867967002
0.01,0.05,additive,True,True,True,2630.8498954030383
0.005,0.5,additive,True,False,False,2631.3815625528555
0.005,1.0,additive,False,True,False,2632.4598057978105
0.005,0.05,multiplicative,True,True,False,2633.451879938791
0.005,5.0,multiplicative,True,False,False,2634.1479849840853
0.005,5.0,additive,True,False,False,2634.480712100025
0.005,1.0,multiplicative,True,True,False,2634.8445919814308
0.005,0.01,multiplicative,True,False,False,2635.6453367066183
0.005,0.01,additive,False,True,False,2636.8190209265854
0.005,0.1,multiplicative,True,False,False,2637.5948863669882
0.005,0.1,multiplicative,True,True,False,2638.596662306194
0.005,0.5,multiplicative,True,True,False,2639.671412664943
0.005,5.0,multiplicative,True,True,False,2640.2552130937584
0.005,1.0,additive,True,False,False,2640.6135576577626
0.005,0.5,multiplicative,True,False,False,2640.6752971782976
0.005,0.5,multiplicative,False,True,False,2640.727354520484
0.005,0.01,multiplicative,False,True,True,2643.432815974338
0.005,5.0,additive,True,True,False,2644.0757184436197
0.005,10.0,additive,True,True,False,2645.893485998106
0.005,10.0,additive,False,True,False,2646.478620116655
0.005,0.01,multiplicative,False,True,False,2646.7230619041343
0.5,0.05,multiplicative,False,False,True,2647.162622534776
0.005,0.1,additive,True,False,False,2648.1181807590074
0.005,0.1,additive,True,True,False,2650.7287700546062
0.005,0.5,additive,True,True,False,2651.8915045899216
0.005,0.01,additive,True,True,False,2653.31090914509
0.005,1.0,additive,False,False,False,2653.8035508957805
0.005,0.5,additive,False,False,False,2653.8035508957805
0.005,0.1,additive,False,False,False,2653.8035508957805
0.005,5.0,additive,False,False,False,2653.8035508957805
0.005,0.05,additive,False,False,False,2653.8035508957805
0.005,10.0,additive,False,False,False,2653.8035508957805
0.005,0.01,additive,False,False,False,2653.8035508957805
0.005,0.1,multiplicative,False,True,False,2653.9810208443564
0.005,0.05,additive,True,True,False,2654.802827292776
0.005,0.05,additive,True,False,False,2655.578461320894
0.005,0.01,additive,True,False,False,2657.186507689663
0.005,0.1,additive,False,True,False,2657.856582985467
0.005,0.5,additive,False,True,False,2659.479334458578
0.005,1.0,additive,True,True,False,2659.618653957916
0.01,0.05,multiplicative,False,False,True,2662.6681707237803
0.005,5.0,multiplicative,False,True,False,2664.399499353085
0.005,10.0,multiplicative,True,True,False,2665.304300578077
0.005,1.0,multiplicative,False,True,False,2665.3752864988114
0.005,0.05,additive,False,True,False,2665.890893882005
0.005,10.0,additive,True,False,False,2667.5413343686464
0.1,0.1,multiplicative,False,True,True,2669.670827325647
0.005,0.01,multiplicative,True,True,True,2672.2484281999764
0.005,0.01,multiplicative,False,False,True,2674.037832710154
0.005,0.01,multiplicative,True,False,True,2676.8471839729423
0.5,0.05,multiplicative,False,True,True,2687.0345751285245
0.01,0.05,multiplicative,False,True,True,2699.038979768029
0.005,0.05,additive,True,False,True,2721.9409981949934
0.005,0.01,additive,True,True,True,2725.534934722707
0.005,0.1,additive,True,False,True,2729.0658743988292
